,Title,Abstract Note
143,"A coupled two-dimensional numerical model for rapidly varying flow, sediment transport and bed morphology","This paper presents a coupled two-dimensional model that can produce a more stable numerical simulation of rapid bed evolution than the conventional decoupled model. To solve the coupled bed-load sediment transport terms using a Godunov-type central-upwind method, a novel scheme to estimate the bed-load fluxes which can produce more accurate results than the previously reported coupled model is proposed using a pair of local wave speeds different from those used for the flow. The two-dimensional shallow water equations are used to solve the flow velocities and water depth. The bed level is solved by an Exner-based equation containing bed-load sediment transport as numerical flux terms and sediment entrainment and deposition as source terms. Analytical formulas to compute the eigenvalues of the Jacobian matrix are developed. The linear reconstruction of variables with a multi-dimensional slope limiter, and the second-order Runge-Kutta scheme are employed to achieve higher accuracy in space and time. For the case of rapid bed-erosion, the accuracy and stability of the proposed coupled model are verified by several numerical tests. © 2015 International Association for Hydro-Environment Engineering and Research."
145,Comparison of new efficient 2D models for the simulation of bedload transport using the augmented Roe approach,"The bedload transport system of equations, composed by the two-dimensional shallow water equations for the free surface flow motion and the 2D Exner or bedload transport equation for the erodible bed layer, is used for a wide range of sediment transport processes in environmental surface flows. In this work, the numerical resolution has been implemented using improved and efficient versions of two different strategies for combining the hydrodynamical and morphodynamical components of the system. The first strategy is based on the full coupling of the flow and bedload transport equations (FCM), leading to a new formulation for the intercell numerical fluxes which includes the bed elevation into the resolution of the approximated local Riemann problem (RP) at the edges. The stability region of this method is controlled by the eigenvalues of the coupled Jacobian matrix at each intercell edge. On the second hand, an alternative decoupled strategy is considered based on solving independently the shallow water and the bed transport equations at each time step but controlling the stability region by means of an approximation of the coupled Jacobian matrix eigenvalues. This method, called approximate-coupled (ACM) allows simpler expressions for the numerical fluxes at the edges and ensures the stability of the scheme. Both strategies are based on the Finite Volume (FV) method using Roe's approach for the computation of the numerical fluxes between neighbouring cells and have been implemented into the same CPU-based numerical kernel in order to perform a realistic comparison of the range of applicability and computational efficiency. The ACM can only guarantee non-oscillatory results when the bed-flow interaction factor is small G≤O(10−3). If the interaction factor G is medium or high, G>O(10−2), the decoupled scheme loses its accuracy and robustness. Furthermore, for highly erosive flows the FCM scheme demonstrates to be more efficient in terms of computational effort than the ACM, one of the key points for large-scale and long-term bedload transport realistic applications. © 2021 The Author(s)"
147,Two-dimensional numerical modelling of shallow water flows over multilayer movable beds,"The two-dimensional modelling of shallow water flows over multi-sediment erodible beds is presented. A novel approach is developed for the treatment of multiple sediment types in morphodynamics. The governing equations include the two-dimensional shallow water equations for hydrodynamics, an Exner-type equation for morphodynamics, a two-dimensional transport equation for the suspended sediments, and a set of empirical equations for entrainment and deposition. Multilayer sedimentary beds are formed of different erodible soils with sediment properties and new exchange conditions between the bed layers are developed for the model. The coupled equations yield a hyperbolic system of balance laws with source terms. As a numerical solver for the system, we implement a fast finite volume characteristics method. The numerical fluxes are reconstructed using the method of characteristics which employs projection techniques. The proposed finite volume solver is simple to implement, satisfies the conservation property and can be used for two-dimensional sediment transport problems in non-homogeneous isotropic beds without need of complicated three-dimensional equations. To assess the performance of the proposed models, we present numerical results for a wide variety of shallow water flows over sedimentary layers. Comparisons to experimental data for dam-break problems over movable beds are also included in this study. © 2020 Elsevier Inc."
149,Well-balanced central-upwind scheme for a fully coupled shallow water system modeling flows over erodible bed,"Intense sediment transport and rapid bed evolution are frequently observed under highly-energetic flows, and bed erosion sometimes is of the same magnitude as the flow itself. Simultaneous simulation of multiple physical processes requires a fully coupled system to achieve an accurate hydraulic and morphodynamical prediction. In this paper, we develop a high-order well-balanced finite-volume method for a new fully coupled two-dimensional hyperbolic system consisting of the shallow water equations with friction terms coupled with the equations modeling the sediment transport and bed evolution.The nonequilibrium sediment transport equation is used to predict the sediment concentration variation. Since bed-load, sediment entrainment and deposition have significant effects on the bed evolution, an Exner-based equation is adopted together with the Grass bed-load formula and sediment entrainment and deposition models to calculate the morphological process. The resulting 5. ×. 5 hyperbolic system of balance laws is numerically solved using a Godunov-type central-upwind scheme on a triangular grid. A computationally expensive process of finding all of the eigenvalues of the Jacobian matrices is avoided: The upper/lower bounds on the largest/smallest local speeds of propagation are estimated using the Lagrange theorem. A special discretization of the bed-slope term is proposed to guarantee the well-balanced property of the designed scheme. The proposed fully coupled model is verified on a number of numerical experiments. © 2015 Elsevier Inc."
155,Linearized implicit time advancing and defect correction applied to sediment transport simulations,"The numerical simulation of sediment transport problems is considered in this paper. The physical problem is modeled through the shallow-water equations coupled with the Exner equation to describe the time evolution of the bed profile. The spatial discretization of the governing equations is carried out by a finite-volume method and a modified Roe scheme designed for non-conservative systems. As for the time advancing, starting from an explicit method, a linearized implicit scheme is generated, in which the flux Jacobian is computed through automatic differentiation. Second-order accuracy in space is then obtained through MUSCL reconstruction and in time through a backward differentiation formula associated with a defect-correction approach. The implicit time advancing is compared in terms of accuracy and computational time with the explicit approach for one-dimensional and two-dimensional sediment transport problems, characterized by different time scales for the evolution of the bed and of the water flow. It is shown that, whenever the use of large time steps is compatible with the capture of the water flow dynamics and of the bedload evolution, the implicit scheme is far more efficient than its explicit counterpart with a CPU reduction up to more than two orders of magnitude. This makes implicit time differencing an attractive option for complex real life applications in this area. © 2012 Elsevier Ltd."
156,Coupled dam-break flow and bed load modelling using HLLC-WAF scheme,"A two-dimensional numerical model predicting flow over a mobile bed has been developed. Governing equations consist of the shallow water equations and the Exner equation. The finite volume method on an unstructured triangular grid was deployed to discretize the governing equations. The local Riemann problem is solved by the Harten, Lax and van Leer-contact (HLLC) method in the interface of the cells and the equations are solved using a fully coupled method. Then the flux modelling has been deployed by the total variation diminishing (TVD) version of the weighted average flux (WAF) scheme. The model was verified by comparison of the results and available experimental data for dam-break flow, in a laboratory test, via a channel with sudden enlargement and erodible bed conditions. Comparison of these two sets of results shows that increasing the accuracy of flux modelling caused the model results to have a reasonable agreement with the experimental data. © 2015 IWA Publishing."
160,Fully coupled methods for multiphase morphodynamics,"We present numerical methods for a system of equations consisting of the two dimensional Saint-Venant shallow water equations (SWEs) fully coupled to a completely generalized Exner formulation of hydrodynamically driven sediment discharge. This formulation is implemented by way of a discontinuous Galerkin (DG) finite element method, using a Roe Flux for the advective components and the unified form for the dissipative components. We implement a number of Runge-Kutta time integrators, including a family of strong stability preserving (SSP) schemes, and Runge-Kutta Chebyshev (RKC) methods. A brief discussion is provided regarding implementational details for generalizable computer algebra tokenization using arbitrary algebraic fluxes. We then run numerical experiments to show standard convergence rates, and discuss important mathematical and numerical nuances that arise due to prominent features in the coupled system, such as the emergence of nondifferentiable and sharp zero crossing functions, radii of convergence in manufactured solutions, and nonconservative product (NCP) formalisms. Finally we present a challenging application model concerning hydrothermal venting across metalliferous muds in the presence of chemical reactions occurring in low pH environments. © 2013."
161,Numerical assessment of bed-load discharge formulations for transient flow in 1D and 2D situations,"Two-dimensional (2D) transient flow over an erodible bed can be modelled using shallow-water equations and the Exner equation to describe the morphological evolution of the bed. Considering the fact that well-proven capacity formulae are based on one-dimensional (1D) experimental steady flows, the assessment of these empirical relations under unsteady 1D and 2D situations is important. In order to ensure the reliability of the numerical experimentation, the formulation has to be general enough to allow the use of different empirical laws. Moreover, the numerical scheme must handle correctly the coupling between the 2D shallow-water equations and the Exner equation under any condition. In this work, a finite-volume numerical scheme that includes these two main features will be exploited here in 1D and 2D laboratory test cases. The relative performances of Meyer-Peter and Müller, Ashida and Michiue, Engelund and Fredsoe, Fernandez Luque and Van Beek, Parker, Smart, Nielsen, Wong and Camenen and Larson formulations are analysed in terms of the root mean square error. A new discretization of the Smart formula is provided, leading to promising predictions of the erosion/deposition rates. The results arising from this work are useful to justify the use of an empirical sediment bed-load discharge formula among the ones studied, regardless of the hydrodynamic situation. © IWA Publishing 2013."
162,Numerical Simulation of Sediment Transport in Unsteady Open Channel Flow,"This paper presented a two-dimensional, well-balanced hydrodynamic and sediment transport model based on the solutions of variable-density shallow-water equations (VDSWEs) and the Exner equation for bed change for simulating sediment transport in unsteady flows. Those equations are solved in a coupled way by the first-order Godunov-type finite volume method. The Harten–Lax–van Leer–Contact (HLLC) Riemann solver is extended to find the local Riemann fluxes to maintain the exact balance between the momentum term and the bed slope term. A well-balanced scheme is superior to an unbalanced scheme to minimize numerical dispersion as demonstrated by the synthetic standing contact-discontinuity test case. Following this, the model is employed to simulate two laboratory experiments and a field case, the 1996 Lake Ha! Ha! flood event in Canada. The results of water surface elevations and bed surface profiles agree well with the measurements. The accuracy and robustness of the numerical schemes make the model a good candidate for practical engineering applications. © 2023 by the authors."
167,Integration of a Levee Breach Erosion Model in a GPU-Accelerated 2D Shallow Water Equations Code,"This paper presents a two-dimensional shallow water equations code coupled with a physically based erosion model, able to predict the opening and evolution of breaches forming in levees built with either cohesive or noncohesive material. The bottom elevation change is evaluated using an excess shear-stress equation, which accounts for the hydrodynamic conditions and for the material characteristics. The proposed model modifies the local topography at runtime wherever the levee is overtopped without having to predefine the position and shape of the breach. The model is implemented in CUDA programming language, so that simulations can be run on graphics processing units, guaranteeing fast execution times even for high-resolution meshes and large domains. The validation is performed based on several experimental tests, and numerical predictions are in good agreement with the measurements. The strengths and weaknesses of the proposed approach are also discussed by comparison with a sediment transport model based on the Exner equation: While the latter gives good results only for breaches forming in levees built with noncohesive material, the proposed model can also be applied to cohesive embankments. The application to a historical flood event is also presented, showing that the model can effectively be employed for real field simulations also in the case of multiple breaches."
